Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470µF","CAP_ZSU_G16_PAN",-130.305300,-75.900000,180.000000,bottom
"C2","470µF","CAP_ZSU_G16_PAN",-130.200000,-88.500000,180.000000,bottom
"C5","47nF 25V","C_0402_1005Metric",-154.800000,-86.415000,-90.000000,bottom
"C6","1µF 6.3V","C_0402_1005Metric",-144.000000,-79.200000,180.000000,bottom
"C7","1µF 25V","C_0402_1005Metric",-156.300000,-87.600000,180.000000,bottom
"C8","100nF 6.3V","C_0402_1005Metric",-145.680039,-89.806139,0.000000,bottom
"C9","100nF 25V","C_0402_1005Metric",-156.900000,-89.400000,0.000000,bottom
"C10","≥10µF 25V","C_0805_2012Metric",-156.385000,-91.815000,180.000000,bottom
"D1","LED","LED_0603_1608Metric",-142.087500,-88.500000,180.000000,bottom
"Q1","IPD135N03L_G","TO228P998X235-3N-2-V",-150.450000,-80.700000,0.000000,bottom
"Q2","IPD135N03L_G","TO228P998X235-3N-2-V",-150.450000,-72.000000,0.000000,bottom
"Q3","IPD135N03L_G","TO228P998X235-3N-2-V",-150.450000,-63.300000,0.000000,bottom
"Q4","IPD135N03L_G","TO228P998X235-3N-2-V",-163.650000,-80.700000,0.000000,bottom
"Q5","IPD135N03L_G","TO228P998X235-3N-2-V",-163.700000,-72.000000,0.000000,bottom
"Q6","IPD135N03L_G","TO228P998X235-3N-2-V",-163.650000,-63.300000,0.000000,bottom
"R4","100Ω","R_0603_1608Metric",-143.325000,-92.700000,180.000000,bottom
"R8","4.7Ω","R_0402_1005Metric",-143.790000,-73.200000,0.000000,bottom
"R9","4.7Ω","R_0402_1005Metric",-143.610000,-65.700000,0.000000,bottom
"R10","4.7Ω","R_0402_1005Metric",-166.036771,-67.664865,180.000000,bottom
"R11","4.7Ω","R_0402_1005Metric",-168.300000,-76.390542,180.000000,bottom
"R12","4.7Ω","R_0402_1005Metric",-159.210000,-85.200000,180.000000,bottom
"U3","DRV8323SRTAT","QFN50P600X600X80-41N415X415",-150.535000,-89.050000,180.000000,bottom
