Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP_ZSU_G16_PAN,2,470µF,C403803
C10,0805,1,≥10µF 25V,C602037
"C11, C14, C15, C16, C17, C4",0402,6,100nF,C466234
C12,0603,1,10nF,C100042
C13,0402,1,1µF,C29266
C3,1206,1,220µF,C5357184
C5,0402,1,47nF 25V,C285062
C6,0402,1,1µF 6.3V,C107372
C7,0402,1,1µF 25V,C52923
C8,0402,1,100nF 6.3V,C2176584
C9,0402,1,100nF 25V,C100072
"D1, D3",0603,2,LED,C19171390
D2,D_SMC,1,SK34,C260396
J1,PinHeader_1x02_P2.54mm_Vertical,1,SWD Headers,
J2,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60,C98733
J3,PinHeader_1x02_P2.54mm_Vertical,1,SWD Power,
L1,L_Bourns_SRR1260,1,68µH,C2041353
"Q1, Q2, Q3, Q4, Q5, Q6",TO228P998X235-3N-2-V,6,IPD135N03L_G,C152614
R1,0603,1,1.8kΩ,C185354
"R10, R11, R12, R7, R8, R9",0402,6,4.7Ω,C2906942
"R13, R14, R15, R2, R6",0603,5,10kΩ,C98220
"R16, R17, R18",0603,3,3.3kΩ,C2907023
"R19, R20, R21",0805,3,0Ω,C17477
R3,0603,1,1kΩ,C2907002
"R4, R5",0603,2,100Ω,C2906981
"SW1, SW2",SW_SPST_TL3305B,2,SW_SPST,C2886900
U2,D2PAK-5_ONS,1,LM2596DSADJG,C7419983
U3,QFN50P600X600X80-41N415X415,1,DRV8323SRTAT,C2150452
U8,LQFP48-7x7mm,1,STM32G431CBTx,C529355
