Designator,Mid X,Mid Y,Rotation,Layer
C1,130.3053,-75.9,0.0,bottom
C10,156.385,-91.815,0.0,bottom
C11,136.800001,-79.220001,270.0,top
C12,145.975,-88.8,180.0,top
C13,143.22,-88.8,0.0,top
C14,147.78,-87.6,0.0,top
C15,149.1,-80.22,270.0,top
C16,138.42,-77.7,180.0,top
C17,141.0,-88.8,180.0,top
C2,130.2,-88.5,0.0,bottom
C3,152.7,-80.7,0.0,top
C4,131.2578,-87.9,180.0,top
C5,154.8,-86.415,270.0,bottom
C6,144.0,-79.2,0.0,bottom
C7,156.3,-87.6,0.0,bottom
C8,145.680039,-89.806139,180.0,bottom
C9,156.9,-89.4,180.0,bottom
D1,142.0875,-88.5,0.0,bottom
D2,165.1,-63.9,180.0,top
D3,147.6,-91.8,180.0,top
J1,141.83,-75.0,270.0,top
J2,131.1,-63.775,0.0,top
J3,165.595,-92.1,90.0,top
L1,165.35,-75.9,0.0,top
Q1,150.45,-80.7,180.0,bottom
Q2,150.45,-72.0,180.0,bottom
Q3,150.45,-63.3,180.0,bottom
Q4,163.65,-80.7,180.0,bottom
Q5,163.7,-72.0,180.0,bottom
Q6,163.65,-63.3,180.0,bottom
R1,152.58,-77.425,0.0,top
R10,166.036771,-67.664865,0.0,bottom
R11,168.3,-76.390542,0.0,bottom
R12,159.21,-85.2,0.0,bottom
R13,132.075,-90.0,180.0,top
R14,132.1,-91.8,180.0,top
R15,132.05,-93.6,180.0,top
R16,128.75,-93.6,180.0,top
R17,128.75,-91.8,180.0,top
R18,128.775,-90.0,180.0,top
R19,151.5125,-83.1,180.0,top
R2,137.625,-70.8,180.0,top
R20,156.8375,-80.7,0.0,top
R21,161.7125,-83.7,0.0,top
R3,155.805,-77.425,180.0,top
R4,143.325,-92.7,0.0,bottom
R5,143.1,-91.8,0.0,top
R6,138.9,-90.075,270.0,top
R7,154.71,-83.1,180.0,top
R8,143.79,-73.2,180.0,bottom
R9,143.61,-65.7,180.0,bottom
SW1,131.2578,-72.2057,0.0,top
SW2,131.2578,-84.3,0.0,top
U2,150.9,-65.5757,0.0,top
U3,150.535,-89.05,0.0,bottom
U8,143.050001,-82.45,0.0,top
